cell,group,metric,geometry,time,gain_percent
ett1_15min_ot--chronos,middle,original_is90,1.5252471185983645,1.530940804335404,0.3719076348945638
ett1_15min_ot--flowstate,middle,original_is90,1.5280816286350347,1.5320240191734016,0.25733216248750024
ett2_15min_ot--chronos,middle,original_is90,0.7810469668410082,0.7880893407065718,0.8936009538271006
ett2_15min_ot--flowstate,middle,original_is90,0.7460848282050542,0.7473407448814868,0.16805141229544462
jena_weather_10min_temperature--chronos,middle,original_is90,1.0496357676847916,1.0757078574794496,2.423714730107951
jena_weather_10min_temperature--flowstate,middle,original_is90,0.8957202326877625,0.9006062376183032,0.5425239940000881
loop_seattle_5min_speed--chronos,middle,original_is90,4.032443414048582,4.034611275586828,0.05373160857810033
loop_seattle_5min_speed--flowstate,middle,original_is90,2.994275284978603,2.991416976807844,-0.09555030919858876
solar_10min_power--chronos,middle,original_is90,1.2639442884040837,1.257073817044697,-0.5465447825123704
solar_10min_power--flowstate,middle,original_is90,1.3475191922395204,1.3472259066689345,-0.021769591063702798
electricity_15min_load--chronos,high,bounded_crps,0.128210308597311,0.12910133884617328,0.6901789375894585
electricity_15min_load--flowstate,high,bounded_crps,0.12314570135640435,0.12397682964043091,0.6703900127443818
ett1_15min_ot--chronos,high,bounded_crps,0.15002496285779082,0.1503835245045159,0.23843146907646107
ett1_15min_ot--flowstate,high,bounded_crps,0.16264970928733957,0.1631326663695905,0.2960517307776689
ett2_15min_ot--chronos,high,bounded_crps,0.07885782336342684,0.08104029064188442,2.693064475918361
ett2_15min_ot--flowstate,high,bounded_crps,0.09039436767690376,0.091386191535692,1.0853104195734709
jena_weather_10min_temperature--chronos,high,bounded_crps,0.08880721661975746,0.08902247339790963,0.2418004914219951
jena_weather_10min_temperature--flowstate,high,bounded_crps,0.09428394358202785,0.09522483525818651,0.9880738292773916
loop_seattle_5min_speed--chronos,high,bounded_crps,0.4076935941725712,0.40977553137345313,0.5080677203696982
loop_seattle_5min_speed--flowstate,high,bounded_crps,0.45377068451671443,0.45403712869225554,0.0586833451943769
solar_10min_power--chronos,high,bounded_crps,0.1276620988206525,0.1279344046462846,0.212848003150512
solar_10min_power--flowstate,high,bounded_crps,0.15191941854988947,0.1522253015558174,0.20094097551567325
electricity_15min_load--chronos,high,physical_crps,33.63873431815224,33.93278530267285,0.8665689594819281
electricity_15min_load--flowstate,high,physical_crps,32.636544073393544,32.86775609558699,0.7034615369574615
ett1_15min_ot--chronos,high,physical_crps,0.3398668458890064,0.34059952939604093,0.21511583070409346
ett1_15min_ot--flowstate,high,physical_crps,0.3642311938738972,0.3652768393641246,0.2862610977601654
ett2_15min_ot--chronos,high,physical_crps,0.5650691374510445,0.5810452688803153,2.7495502131971716
ett2_15min_ot--flowstate,high,physical_crps,0.6191340749238418,0.6258701757196186,1.0762776462437618
jena_weather_10min_temperature--chronos,high,physical_crps,0.33411648358889084,0.3349344359164501,0.24421266965911625
jena_weather_10min_temperature--flowstate,high,physical_crps,0.3869230041599383,0.39057159576391104,0.9341671651356354
loop_seattle_5min_speed--chronos,high,physical_crps,3.644796975828311,3.662909759146965,0.4944916612652839
loop_seattle_5min_speed--flowstate,high,physical_crps,3.829797440518206,3.8315811312147945,0.04655234054832258
